Date,Company,Headline,Sentiment_Score,Sentiment
2025-06-26,ICICI Bank,FII buying seen in ICICI Bank shares,0.752,Positive
2025-06-26,Larsen & Toubro,Larsen & Toubro announces expansion plans,0.8352,Positive
2025-06-26,Bharti Airtel,Analysts upgrade Bharti Airtel to BUY,0.7079,Positive
2025-06-27,HDFC Bank,HDFC Bank announces expansion plans,0.4144,Positive
2025-06-27,Larsen & Toubro,FII buying seen in Larsen & Toubro shares,0.88,Positive
2025-06-27,Reliance Industries,FII buying seen in Reliance Industries shares,0.6048,Positive
2025-06-29,Bharti Airtel,"Bharti Airtel dividend declared, investors rejoice",0.7469,Positive
2025-07-01,ICICI Bank,ICICI Bank Q3 results beat street estimates,0.5446,Positive
2025-07-01,Infosys,FII buying seen in Infosys shares,0.3705,Positive
2025-07-01,ITC,ITC posts record quarterly profit,0.5871,Positive
2025-07-02,Reliance Industries,Analysts upgrade Reliance Industries to BUY,0.9576,Positive
2025-07-05,ITC,ITC Q3 results beat street estimates,0.9329,Positive
2025-07-06,HDFC Bank,HDFC Bank posts record quarterly profit,0.6541,Positive
2025-07-06,Infosys,Infosys wins major government contract,0.7314,Positive
2025-07-07,Infosys,"Infosys dividend declared, investors rejoice",0.633,Positive
2025-07-08,SBI,SBI posts record quarterly profit,0.5546,Positive
2025-07-08,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.594,Positive
2025-07-08,ITC,"ITC dividend declared, investors rejoice",0.9882,Positive
2025-07-09,Reliance Industries,Reliance Industries Q3 results beat street estimates,0.3662,Positive
2025-07-09,TCS,TCS Q3 results beat street estimates,0.7642,Positive
2025-07-11,Infosys,Infosys wins major government contract,1.0,Positive
2025-07-12,Hindustan Unilever,"Hindustan Unilever dividend declared, investors rejoice",0.6232,Positive
2025-07-12,TCS,TCS announces expansion plans,0.5522,Positive
2025-07-12,TCS,Analysts upgrade TCS to BUY,0.5204,Positive
2025-07-13,HDFC Bank,HDFC Bank wins major government contract,0.5386,Positive
2025-07-13,ICICI Bank,ICICI Bank management meets analysts,0.0539,Neutral
2025-07-13,HDFC Bank,"HDFC Bank dividend declared, investors rejoice",0.8356,Positive
2025-07-13,Reliance Industries,Reliance Industries posts record quarterly profit,0.8437,Positive
2025-07-14,ITC,ITC posts record quarterly profit,0.361,Positive
2025-07-15,TCS,TCS posts record quarterly profit,0.702,Positive
2025-07-15,Infosys,Infosys reports strong revenue growth,0.2019,Positive
2025-07-16,Hindustan Unilever,Hindustan Unilever reports strong revenue growth,0.3709,Positive
2025-07-17,Larsen & Toubro,Larsen & Toubro posts record quarterly profit,1.0,Positive
2025-07-17,Larsen & Toubro,Larsen & Toubro wins major government contract,0.6922,Positive
2025-07-17,Reliance Industries,FII buying seen in Reliance Industries shares,0.3374,Positive
2025-07-19,Bharti Airtel,Bharti Airtel wins major government contract,0.8209,Positive
2025-07-20,Bharti Airtel,Bharti Airtel announces expansion plans,0.7488,Positive
2025-07-21,Reliance Industries,Reliance Industries announces expansion plans,0.6694,Positive
2025-07-21,Infosys,Infosys wins major government contract,0.2205,Positive
2025-07-22,SBI,Analysts upgrade SBI to BUY,0.4702,Positive
2025-07-23,Reliance Industries,Reliance Industries posts record quarterly profit,1.0,Positive
2025-07-24,ITC,ITC reports strong revenue growth,0.4602,Positive
2025-07-25,Infosys,Infosys Q3 results beat street estimates,0.5595,Positive
2025-07-27,SBI,SBI reports strong revenue growth,0.711,Positive
2025-07-29,ITC,ITC announces expansion plans,0.8861,Positive
2025-07-30,SBI,SBI board meeting scheduled,-0.0195,Neutral
2025-07-31,Larsen & Toubro,Analysts upgrade Larsen & Toubro to BUY,0.9418,Positive
2025-07-31,ICICI Bank,ICICI Bank announces expansion plans,0.703,Positive
2025-08-01,Reliance Industries,Reliance Industries wins major government contract,0.5299,Positive
2025-08-02,Reliance Industries,Reliance Industries wins major government contract,0.6982,Positive
2025-08-02,Larsen & Toubro,Larsen & Toubro announces expansion plans,0.8396,Positive
2025-08-03,ITC,FII buying seen in ITC shares,0.4845,Positive
2025-08-03,Reliance Industries,Reliance Industries posts record quarterly profit,0.5473,Positive
2025-08-03,Reliance Industries,Reliance Industries announces expansion plans,0.4883,Positive
2025-08-03,HDFC Bank,HDFC Bank posts record quarterly profit,0.6484,Positive
2025-08-06,ITC,FII buying seen in ITC shares,0.861,Positive
2025-08-06,Larsen & Toubro,Larsen & Toubro announces expansion plans,0.5051,Positive
2025-08-06,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.6699,Positive
2025-08-07,Larsen & Toubro,Analysts upgrade Larsen & Toubro to BUY,0.6796,Positive
2025-08-07,Hindustan Unilever,Analysts upgrade Hindustan Unilever to BUY,0.8713,Positive
2025-08-10,SBI,SBI to announce results next week,0.0716,Neutral
2025-08-11,Larsen & Toubro,"Larsen & Toubro dividend declared, investors rejoice",0.3741,Positive
2025-08-11,Hindustan Unilever,"Hindustan Unilever dividend declared, investors rejoice",0.9762,Positive
2025-08-12,SBI,FII buying seen in SBI shares,0.7494,Positive
